Quarter,Date,Min_Wage_Weekly,ChartC_Fortnightly,ChartC_Weekly,Ratio_Percent,Ratio_Percent_1dp,Weekly_Gap,Dataset_Status,Source_Basis,Official_Lock_Date
1998 Q3,1998-09-30,373.4,820.0,410.0,91.07317073170731,91.1,36.60000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1998 Q4,1998-12-31,373.4,825.4,412.7,90.47734431790647,90.5,39.30000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1999 Q1,1999-03-31,373.4,825.4,412.7,90.47734431790647,90.5,39.30000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1999 Q2,1999-06-30,385.4,833.6,416.8,92.46641074856046,92.5,31.400000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1999 Q3,1999-09-30,385.4,835.6,417.8,92.2450933460986,92.2,32.400000000000034,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
1999 Q4,1999-12-31,385.4,845.8,422.9,91.13265547410735,91.1,37.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2000 Q1,2000-03-31,385.4,845.8,422.9,91.13265547410735,91.1,37.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2000 Q2,2000-06-30,400.4,856.8,428.4,93.4640522875817,93.5,28.0,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2000 Q3,2000-09-30,400.4,1087.25,543.625,73.65371349735571,73.7,143.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2000 Q4,2000-12-31,400.4,1105.25,552.625,72.45419588328433,72.5,152.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2001 Q1,2001-03-31,400.4,1105.75,552.875,72.42143341623331,72.4,152.47500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2001 Q2,2001-06-30,413.4,1125.5,562.75,73.46068414038204,73.5,149.35000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2001 Q3,2001-09-30,413.4,1131.5,565.75,73.07114449845338,73.1,152.35000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2001 Q4,2001-12-31,413.4,1152.75,576.375,71.72413793103448,71.7,162.97500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2002 Q1,2002-03-31,413.4,1152.75,576.375,71.72413793103448,71.7,162.97500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2002 Q2,2002-06-30,431.4,1181.0,590.5,73.05673158340389,73.1,159.10000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2002 Q3,2002-09-30,431.4,1185.0,592.5,72.81012658227849,72.8,161.10000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2002 Q4,2002-12-31,431.4,1204.0,602.0,71.6611295681063,71.7,170.60000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2003 Q1,2003-03-31,431.4,1204.0,602.0,71.6611295681063,71.7,170.60000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2003 Q2,2003-06-30,448.4,1231.25,615.625,72.83654822335025,72.8,167.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2003 Q3,2003-09-30,448.4,1235.25,617.625,72.6006881198138,72.6,169.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2003 Q4,2003-12-31,448.4,1266.5,633.25,70.80931701539676,70.8,184.85000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2004 Q1,2004-03-31,448.4,1266.5,633.25,70.80931701539676,70.8,184.85000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2004 Q2,2004-06-30,467.4,1295.0,647.5,72.18532818532817,72.2,180.10000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2004 Q3,2004-09-30,467.4,1297.0,648.5,72.07401696222051,72.1,181.10000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2004 Q4,2004-12-31,467.4,1313.25,656.625,71.18218161050828,71.2,189.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2005 Q1,2005-03-31,467.4,1313.25,656.625,71.18218161050828,71.2,189.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2005 Q2,2005-06-30,484.4,1327.25,663.625,72.99303070258051,73.0,179.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2005 Q3,2005-09-30,484.4,1329.25,664.625,72.88320481474516,72.9,180.22500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2005 Q4,2005-12-31,484.4,1360.75,680.375,71.19603160022046,71.2,195.97500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2006 Q1,2006-03-31,484.4,1360.75,680.375,71.19603160022046,71.2,195.97500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2006 Q2,2006-06-30,484.4,1387.75,693.875,69.81084489281211,69.8,209.47500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2006 Q3,2006-09-30,484.4,1391.75,695.875,69.61020298185737,69.6,211.47500000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2006 Q4,2006-12-31,511.86,1422.75,711.375,71.95361096468108,72.0,199.515,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2007 Q1,2007-03-31,511.86,1422.75,711.375,71.95361096468108,72.0,199.515,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2007 Q2,2007-06-30,511.86,1455.25,727.625,70.34667582889537,70.3,215.765,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2007 Q3,2007-09-30,511.86,1459.25,729.625,70.15384615384616,70.2,217.765,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2007 Q4,2007-12-31,522.12,1490.75,745.375,70.04796243501593,70.0,223.255,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2008 Q1,2008-03-31,522.12,1490.75,745.375,70.04796243501593,70.0,223.255,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2008 Q2,2008-06-30,522.12,1513.5,756.75,68.99504459861248,69.0,234.63,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2008 Q3,2008-09-30,522.12,1519.5,759.75,68.72260612043435,68.7,237.63,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2008 Q4,2008-12-31,543.78,1557.75,778.875,69.81608088589311,69.8,235.09500000000003,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2009 Q1,2009-03-31,543.78,1558.25,779.125,69.79367880635327,69.8,235.34500000000003,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2009 Q2,2009-06-30,543.78,1577.5,788.75,68.94199683042788,68.9,244.97000000000003,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2009 Q3,2009-09-30,543.78,1581.5,790.75,68.76762567183053,68.8,246.97000000000003,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2009 Q4,2009-12-31,543.78,1485.8,742.9,73.19693094629156,73.2,199.12,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2010 Q1,2010-03-31,543.78,1485.8,742.9,73.19693094629156,73.2,199.12,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2010 Q2,2010-06-30,543.78,1544.2,772.1,70.42870094547338,70.4,228.32000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2010 Q3,2010-09-30,569.9,1548.2,774.1,73.62097920165353,73.6,204.20000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2010 Q4,2010-12-31,569.9,1578.2,789.1,72.22151818527436,72.2,219.20000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2011 Q1,2011-03-31,569.9,1578.2,789.1,72.22151818527436,72.2,219.20000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2011 Q2,2011-06-30,569.9,1604.6,802.3,71.0332793219494,71.0,232.39999999999998,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2011 Q3,2011-09-30,589.3,1608.6,804.3,73.2686808404824,73.3,215.0,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2011 Q4,2011-12-31,589.3,1647.6,823.8,71.53435299830055,71.5,234.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2012 Q1,2012-03-31,589.3,1647.6,823.8,71.53435299830055,71.5,234.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2012 Q2,2012-06-30,589.3,1661.0,830.5,70.95725466586393,71.0,241.20000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2012 Q3,2012-09-30,606.4,1663.0,831.5,72.92844257366205,72.9,225.10000000000002,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2012 Q4,2012-12-31,606.4,1697.2,848.6,71.45887343860475,71.5,242.20000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2013 Q1,2013-03-31,606.4,1697.2,848.6,71.45887343860475,71.5,242.20000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2013 Q2,2013-06-30,606.4,1768.8,884.4,68.56625961103573,68.6,278.0,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2013 Q3,2013-09-30,622.2,1772.8,886.4,70.19404332129965,70.2,264.19999999999993,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2013 Q4,2013-12-31,622.2,1810.2,905.1,68.74378521710308,68.7,282.9,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2014 Q1,2014-03-31,622.2,1810.2,905.1,68.74378521710308,68.7,282.9,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2014 Q2,2014-06-30,622.2,1841.6,920.8,67.5716768027802,67.6,298.5999999999999,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2014 Q3,2014-09-30,640.9,1845.6,922.8,69.45166883398353,69.5,281.9,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2014 Q4,2014-12-31,640.9,1868.6,934.3,68.59681044632346,68.6,293.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2015 Q1,2015-03-31,640.9,1868.6,934.3,68.59681044632346,68.6,293.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2015 Q2,2015-06-30,640.9,1880.4,940.2,68.16634758562007,68.2,299.30000000000007,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2015 Q3,2015-09-30,656.9,1882.4,941.2,69.79388015299617,69.8,284.30000000000007,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2015 Q4,2015-12-31,656.9,1896.0,948.0,69.29324894514768,69.3,291.1,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2016 Q1,2016-03-31,656.9,1896.0,948.0,69.29324894514768,69.3,291.1,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2016 Q2,2016-06-30,656.9,1909.8,954.9,68.7925437218557,68.8,298.0,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2016 Q3,2016-09-30,672.7,1911.8,955.9,70.37347002824565,70.4,283.19999999999993,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2016 Q4,2016-12-31,672.7,1918.2,959.1,70.13867167135857,70.1,286.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2017 Q1,2017-03-31,672.7,1918.2,959.1,70.13867167135857,70.1,286.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2017 Q2,2017-06-30,672.7,1940.6,970.3,69.32907348242813,69.3,297.5999999999999,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2017 Q3,2017-09-30,694.9,1944.6,972.3,71.469710994549,71.5,277.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2017 Q4,2017-12-31,694.9,1956.8,978.4,71.02412101390024,71.0,283.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2018 Q1,2018-03-31,694.9,1956.8,978.4,71.02412101390024,71.0,283.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2018 Q2,2018-06-30,694.9,1983.2,991.6,70.07866075030253,70.1,296.70000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2018 Q3,2018-09-30,719.2,1987.2,993.6,72.38325281803543,72.4,274.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2018 Q4,2018-12-31,719.2,2004.6,1002.3,71.75496358375737,71.8,283.0999999999999,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2019 Q1,2019-03-31,719.2,2004.6,1002.3,71.75496358375737,71.8,283.0999999999999,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2019 Q2,2019-06-30,719.2,2024.4,1012.2,71.05315155107687,71.1,293.0,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2019 Q3,2019-09-30,740.8,2026.4,1013.2,73.11488353730753,73.1,272.4000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2019 Q4,2019-12-31,740.8,2040.8,1020.4,72.59898079184633,72.6,279.6,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2020 Q1,2020-03-31,740.8,2040.8,1020.4,72.59898079184633,72.6,279.6,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2020 Q2,2020-06-30,740.8,2062.6,1031.3,71.83166876757491,71.8,290.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2020 Q3,2020-09-30,753.8,2066.6,1033.3,72.95074034646278,73.0,279.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2020 Q4,2020-12-31,753.8,2066.6,1033.3,72.95074034646278,73.0,279.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2021 Q1,2021-03-31,753.8,2066.6,1033.3,72.95074034646278,73.0,279.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2021 Q2,2021-06-30,753.8,2083.4,1041.7,72.36248440049917,72.4,287.9000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2021 Q3,2021-09-30,772.6,2085.4,1042.7,74.09609667210127,74.1,270.1,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2021 Q4,2021-12-31,772.6,2115.0,1057.5,73.05910165484633,73.1,284.9,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2022 Q1,2022-03-31,772.6,2115.0,1057.5,73.05910165484633,73.1,284.9,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2022 Q2,2022-06-30,772.6,2155.2,1077.6,71.69636228656275,71.7,304.9999999999999,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2022 Q3,2022-09-30,812.6,2165.2,1082.6,75.06004064289674,75.1,269.9999999999999,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2022 Q4,2022-12-31,812.6,2243.0,1121.5,72.45653143111905,72.5,308.9,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2023 Q1,2023-03-31,812.6,2243.0,1121.5,72.45653143111905,72.5,308.9,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2023 Q2,2023-06-30,812.6,2318.0,1159.0,70.11216566005177,70.1,346.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2023 Q3,2023-09-30,882.8,2332.0,1166.0,75.71183533447685,75.7,283.20000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2023 Q4,2023-12-31,882.8,2397.4,1198.7,73.64645032118128,73.6,315.9000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2024 Q1,2024-03-31,882.8,2397.4,1198.7,73.64645032118128,73.6,315.9000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2024 Q2,2024-06-30,882.8,2436.6,1218.3,72.46162685709595,72.5,335.5,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2024 Q3,2024-09-30,915.9,2444.6,1222.3,74.93250429518122,74.9,306.4,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2024 Q4,2024-12-31,915.9,2500.8,1250.4,73.24856046065258,73.2,334.5000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2025 Q1,2025-03-31,915.9,2500.8,1250.4,73.24856046065258,73.2,334.5000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2025 Q2,2025-06-30,915.9,2510.0,1255.0,72.9800796812749,73.0,339.1,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2025 Q3,2025-09-30,948.0,2516.0,1258.0,75.3577106518283,75.4,310.0,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2025 Q4,2025-12-31,948.0,2575.4,1287.7,73.61963190184049,73.6,339.70000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2026 Q1,2026-03-31,948.0,2575.4,1287.7,73.61963190184049,73.6,339.70000000000005,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2026 Q2,2026-06-30,948.0,2619.8,1309.9,72.37193678906786,72.4,361.9000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2026 Q3,2026-09-30,1004.9,2627.8,1313.9,76.48222848009742,76.5,309.0000000000001,VERIFIED_CURRENT_SOURCE,User-provided complete Stage C series in current conversation,2026-08-16
2026 Q4,2026-12-31,1004.9,2701.4,1350.7,74.39846005774783,74.4,345.80000000000007,VERIFIED_FUTURE_EFFECTIVE,"Official DVA Income Support Income Limits effective 20 September 2026; single non-transitional, no Rent Assistance",2026-09-09
